fen,moves,rating,themes,gameurl,moves_alg,final_fen,fen_after_first_move,placement,active,castling,enpassant
5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1488,advantage endgame short,https://lichess.org/F8M8OS71#53, Qd6 Rd8 Qxd8+ Bxd8,3b2k1/1p3ppp/pq6/8/8/1P3N2/P4PPP/3R2K1 w - - 0 29,5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1 b - - 3 27,5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1,b,-,-
r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16,b6c5 e2g4 h3g4 d1g4,1145,advantage middlegame short,https://lichess.org/4MWQCxQ6/black#32, bxc5 Bxg4 Bxg4 Qxg4,r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1Q1/B2P2P1/3N1P1P/RN2R1K1 b - - 0 18,r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 w - - 0 17,r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1,w,-,-
r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1PP1PP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1407,advantage master middlegame short,https://lichess.org/iihZGl6t#29, Be7 Qxc3 bxc3 Nxe7,r4rk1/pp2nppp/4b3/2pp4/8/P1P2NP1/2P1PP1P/2KR3R w - - 0 17,r4rk1/pp2Bppp/2n1b3/q1pp4/8/P1Q2NP1/1PP1PP1P/2KR3R b - - 1 15,r4rk1/pp2Bppp/2n1b3/q1pp4/8/P1Q2NP1/1PP1PP1P/2KR3R,b,-,-
3q1rk1/1pp3pp/5p1P/4pPP1/rb1pP3/3P1N2/b1P1B3/2QK2RR b - - 7 26,d8a8 g5g6 h7g6 h6g7,2306,advancedPawn crushing kingsideAttack middlegame quietMove short,https://lichess.org/FLmpZbTm/black#52, Qa8 g6 hxg6 hxg7,q4rk1/1pp3P1/5pp1/4pP2/rb1pP3/3P1N2/b1P1B3/2QK2RR b - - 0 28,q4rk1/1pp3pp/5p1P/4pPP1/rb1pP3/3P1N2/b1P1B3/2QK2RR w - - 8 27,q4rk1/1pp3pp/5p1P/4pPP1/rb1pP3/3P1N2/b1P1B3/2QK2RR,w,-,-
4r3/5pk1/1p3np1/3p3p/2qQ4/P4N1P/1P3RP1/7K w - - 6 34,d4b6 f6e4 h1g1 e4f2,2038,crushing endgame short trappedPiece,https://lichess.org/GeXqsW90#67, Qxb6 Ne4 Kg1 Nxf2,4r3/5pk1/1Q4p1/3p3p/2q5/P4N1P/1P3nP1/6K1 w - - 0 36,4r3/5pk1/1Q3np1/3p3p/2q5/P4N1P/1P3RP1/7K b - - 0 34,4r3/5pk1/1Q3np1/3p3p/2q5/P4N1P/1P3RP1/7K,b,-,-
r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17,d8f6 d1h5 h7h6 h5c5,1905,advantage middlegame short,https://lichess.org/jcuxlI63/black#34, Qf6 Qh5 h6 Qxc5,r4rk1/5pp1/1np2q1p/p1Q5/2p1B3/P7/1P3PPP/R1B2RK1 b - - 0 19,r4rk1/5ppp/1np2q2/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 w - - 2 18,r4rk1/5ppp/1np2q2/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1,w,-,-
2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20,b7b6 d4a1 a7a5 f1c1,2436,advantage endgame pin short,https://lichess.org/H1ARO2GL/black#40, b6 Qa1 a5 Rc1,2kr3r/5p2/1p2p2p/pN1p2p1/8/1P1P4/2q2PPP/Q1R3K1 b - - 1 22,2kr3r/p4p2/1p2p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 w - - 0 21,2kr3r/p4p2/1p2p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1,w,-,-
4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1138,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42, Rxe5 Rd8+ Re8 Rxe8#,4R1k1/5ppp/r1p5/p1n2P2/8/2P2N1P/2P3P1/6K1 b - - 0 23,6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22,6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1,w,-,-
5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1034,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51, Kh4 Bf2+ g3 Bxg3#,5r1k/pp4pp/5p2/1B1Qp1r1/7K/6bP/1PP5/3R3R w - - 0 28,5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R b - - 3 26,5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R,b,-,-
2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2174,advantage hangingPiece middlegame short,https://lichess.org/BBn6ipaK/black#66, Qb6 Qxc8+ Kh7 Qb7,8/pQ3ppk/1q2p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 2 35,2r3k1/p4pp1/Qq2p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 w - - 4 34,2r3k1/p4pp1/Qq2p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3,w,-,-
